epoch,correlate,loss,mae,val_correlate,val_loss,val_mae
0,0.24114438891410828,0.7343884706497192,0.13697843253612518,7.660279516130686e-05,1.1027785539627075,0.12062680721282959
1,0.4771001935005188,0.5090473294258118,0.09783598780632019,0.4662884771823883,0.6218612790107727,0.09817588329315186
2,0.5359617471694946,0.4457409977912903,0.08047662675380707,0.48638656735420227,0.5849056243896484,0.08072540163993835
3,0.5722981691360474,0.40836429595947266,0.06936685740947723,0.5013963580131531,0.5653331279754639,0.07583945989608765
4,0.5911127924919128,0.39017724990844727,0.06693821400403976,0.5182204246520996,0.544776201248169,0.07178005576133728
5,0.6037740707397461,0.37851619720458984,0.06560099124908447,0.525315523147583,0.5374042987823486,0.07138697803020477
6,0.6210609078407288,0.36415910720825195,0.06494466960430145,0.529988169670105,0.530976414680481,0.06952276825904846
7,0.6309604644775391,0.35464638471603394,0.06426755338907242,0.5253596305847168,0.5365791320800781,0.07058294117450714
8,0.6392764449119568,0.347320020198822,0.06377486139535904,0.5229086875915527,0.5417448282241821,0.07337315380573273
9,0.6410542130470276,0.34556567668914795,0.0634995847940445,0.4977876543998718,0.5722788572311401,0.0792982280254364
10,0.6486732959747314,0.33878087997436523,0.06289626657962799,0.5293989181518555,0.5334654450416565,0.07146811485290527
11,0.6520165205001831,0.3365955948829651,0.06293685734272003,0.5262932181358337,0.5376725196838379,0.0726306363940239
12,0.6541578769683838,0.33442363142967224,0.06266115605831146,0.5295085906982422,0.5346664190292358,0.07279829680919647
